Price,Levy,Manufacturer,Model,Prod._year,Category,Leather_interior,Fuel_type,Engine_volume,Mileage,Cylinders,Gear_box_type,Drive_wheels,Color,Airbags
4234,906,24,88,2001,4,Yes,4,2.4,205000,5,1,3,16,8
20385,738,43,452,2017,3,No,4,1.4,64000,4,4,3,14,12
36567,765,50,1069,2015,8,Yes,7,2.0,146844,4,3,3,6,4
18124,707,50,754,2011,4,Yes,4,2.0,160000,4,3,3,12,4
7840,906,38,594,1996,6,No,7,2.5,25000,1,1,1,6,2
15524,761,40,549,2010,2,No,2,1.8,124000,4,4,3,16,8
1882,746,40,549,2009,3,Yes,2,1.5,142426,4,3,3,14,12
5959,1249,40,538,2017,3,Yes,4,2.5,60117,4,3,3,14,12
26149,707,50,1017,2011,8,Yes,7,2.0,126320,4,3,3,16,4
627,915,33,182,2014,3,Yes,4,3.0,164488,6,3,2,8,12
20266,1099,57,1048,2010,8,Yes,7,2.7,217000,4,3,3,12,4
10820,919,47,595,2012,8,Yes,7,3.0,229966,6,3,2,12,0
17249,906,40,549,2010,2,No,4,1.8,184717,4,3,3,8,12
24458,583,48,898,2011,8,Yes,4,1.6,83000,4,4,3,1,8
8075,781,31,443,2012,3,Yes,4,2.5,164800,4,4,3,16,12
32145,906,40,538,2015,3,No,4,2.5,108000,8,4,1,14,12
392,690,25,256,2016,8,Yes,2,3.5,27038,6,3,2,14,12
314,1172,42,496,2011,3,Yes,7,3.5,132630,6,3,1,8,12
40769,971,50,1069,2016,8,Yes,7,2.2,23216,4,3,3,14,4
4701,1282,44,467,2007,8,Yes,7,2.0,54658,4,3,3,8,4
14113,636,43,742,2014,3,Yes,7,2.0,43158,4,3,3,12,4
549,1053,42,496,2014,4,Yes,4,3.5,103427,6,3,1,12,12
4861,1018,47,903,2011,3,Yes,4,3.0,151099,6,3,2,13,12
10515,639,50,604,2014,3,Yes,3,2.0,55210,4,3,3,8,4
43905,906,42,1143,1994,8,Yes,4,3.2,200000,6,3,2,12,0
16320,595,41,635,2015,2,Yes,4,1.5,111774,4,3,3,8,4
21326,638,44,682,2014,3,Yes,4,2.0,33670,4,3,3,14,4
19384,583,50,669,2011,3,Yes,4,1.6,124892,4,3,3,14,4
25089,906,40,538,2012,3,Yes,2,2.5,12000,6,3,3,12,12
3058,915,33,227,2014,2,Yes,4,3.0,140507,6,3,2,8,0
11917,906,23,275,2006,3,No,3,1.6,200000,4,3,3,8,2
20385,906,40,816,2012,2,No,4,1.8,210000,4,3,3,14,0
42337,1017,50,1069,2017,8,Yes,7,2.0,29853,4,3,3,14,4
29445,502,40,673,2013,2,Yes,4,1.5,112200,4,3,3,14,4
941,862,31,443,2011,3,Yes,7,2.5,175389,5,3,3,16,12
10976,790,9,264,2009,1,No,1,1.6,152000,4,1,3,15,6
36379,906,42,740,2011,8,Yes,4,3.5,154000,6,4,1,12,12
16778,906,46,606,2012,3,No,4,1.8,250000,4,1,3,8,6
24148,1286,24,636,2010,8,Yes,4,3.2,124000,6,4,2,12,9
30712,877,50,1017,2017,8,Yes,7,1.7,50380,4,3,3,14,4
43576,730,57,1076,2016,8,Yes,7,1.6,59197,4,3,3,14,4
1882,746,40,549,2009,3,Yes,2,1.5,142426,4,3,3,14,12
21012,891,50,836,2016,3,No,4,2.0,20900,4,4,3,6,8
28225,906,47,595,2007,8,Yes,7,3.0,221500,6,4,2,8,6
18503,730,50,669,2016,3,Yes,3,1.6,28332,4,3,3,8,4
16308,906,31,443,2011,3,Yes,3,2.5,169600,5,4,3,12,8
30063,934,50,1038,2015,10,Yes,7,2.5,148105,4,3,3,8,4
41578,730,57,1076,2016,8,Yes,7,1.6,92888,4,3,3,12,4
39161,640,57,1048,2013,8,Yes,7,2.0,105924,4,3,3,14,4
15681,640,38,730,2013,2,Yes,2,2.0,150000,4,4,3,12,0
25716,781,40,538,2012,3,Yes,2,2.5,107000,4,3,3,12,12
18688,1141,52,978,2009,8,Yes,4,2.4,167510,4,3,3,4,4
4077,919,47,595,2012,8,Yes,7,3.0,274098,6,3,2,14,0
1568,1172,42,496,2011,4,Yes,7,3.5,226251,6,3,1,12,12
21395,1017,43,857,2017,8,Yes,3,2.0,204067,4,3,3,16,4
6899,906,42,271,2006,3,No,4,1.7,149000,4,4,3,11,6
43868,730,57,1076,2016,8,Yes,7,1.6,64841,4,3,3,12,4
15681,906,44,682,2015,3,No,4,2.4,61680,4,3,3,6,6
20071,1292,42,614,2016,8,Yes,4,3.0,62938,6,3,2,12,0
12980,583,50,669,2011,3,Yes,4,1.6,150000,4,3,3,12,4
14426,906,47,659,2005,3,Yes,4,3.0,15000,6,4,1,16,6
13172,906,42,513,2006,2,Yes,4,2.0,161000,4,2,3,8,8
5488,906,42,126,2001,2,No,4,1.9,147000,4,3,3,12,4
15289,836,50,754,2010,4,Yes,4,2.0,115363,4,3,3,4,4
392,862,12,26,2011,8,Yes,4,2.5,183728,4,3,3,6,12
7213,906,12,201,2003,2,No,1,1.4,185000,4,1,3,6,4
7213,906,12,202,2003,2,No,1,1.4,185000,4,1,3,6,4
9408,906,40,263,2006,2,No,4,1.5,115000,4,2,3,12,5
12858,893,50,497,2008,3,Yes,7,1.6,250000,4,1,3,12,8
392,1249,40,538,2017,3,Yes,4,2.5,63200,4,3,3,16,12
12231,650,43,452,2016,3,No,4,1.4,182880,4,3,3,12,8
25243,501,41,635,2014,2,Yes,4,1.5,28300,4,3,3,8,4
5331,906,5,432,1964,8,No,4,2.4,50000,4,1,2,1,0
47531,1017,41,777,2017,3,Yes,4,2.0,48291,4,3,3,16,4
32929,906,40,538,2016,3,No,2,2.5,140000,4,3,3,6,12
15323,836,50,754,2010,4,Yes,4,2.0,132008,4,3,3,16,4
22649,707,57,1048,2011,8,Yes,7,2.0,131114,4,3,3,8,4
22580,1017,42,178,2017,3,Yes,4,2.0,50930,4,3,1,12,12
23207,831,23,441,2017,8,No,4,1.6,54000,4,4,3,12,10
8467,906,23,282,2006,2,Yes,4,1.5,139000,4,2,3,12,6
5739,761,8,274,2010,3,Yes,4,1.8,86382,4,3,3,8,4
1490,810,50,669,2016,3,Yes,4,1.8,91838,4,3,3,8,12
17405,891,50,655,2016,3,No,4,2.0,81302,4,3,3,4,8
25264,639,50,1017,2014,8,Yes,7,2.0,191980,4,3,3,14,4
5959,906,9,215,2000,3,No,1,1.6,185777,4,3,3,6,4
23521,1024,40,934,2010,8,Yes,4,2.5,109534,4,4,2,14,10
23521,906,35,1067,2010,11,No,7,2.4,175000,4,1,2,14,2
34811,919,47,595,2012,8,Yes,7,3.0,70994,6,3,2,12,0
10349,906,40,308,2007,9,Yes,4,2.4,170000,4,3,3,12,6
3136,690,43,742,2016,3,Yes,4,1.5,238784,4,3,3,12,12
41387,1091,50,1038,2016,9,Yes,7,2.5,110189,4,3,3,8,4
16599,836,50,604,2010,3,Yes,4,2.0,209254,4,3,3,12,4
15132,707,50,604,2011,3,Yes,4,2.0,155127,4,3,3,16,4
6586,1282,44,467,2007,8,Yes,7,2.0,82944,4,3,3,8,4
8154,906,42,147,1998,3,Yes,1,2.3,200000,4,3,1,1,4
19444,530,50,783,2013,2,Yes,7,1.6,122000,4,4,3,14,6
6241,1282,43,703,2007,8,Yes,7,2.0,60280,4,3,3,8,4
17942,530,50,669,2013,3,Yes,4,1.6,196448,4,3,3,12,4
17249,753,50,604,2012,3,Yes,4,2.4,123869,4,4,3,14,12
392,781,40,538,2012,3,Yes,2,2.5,314373,4,3,3,16,12
26861,769,50,1069,2011,8,Yes,7,2.2,188787,4,3,3,14,4
1333,1275,52,978,2019,3,Yes,4,2.4,29278,4,3,3,12,12
11917,906,40,549,2006,2,No,2,1.5,222000,4,3,3,6,10
862,1292,42,614,2016,8,Yes,4,3.0,70450,6,3,2,16,10
4704,906,12,152,2004,3,No,4,2.3,218194,4,3,3,8,8
19800,586,40,549,2012,2,Yes,2,1.8,170000,4,3,3,8,12
26030,906,42,883,2008,9,Yes,7,2.2,200000,6,4,1,5,4
3700,906,42,71,2005,2,No,4,1.5,100000,4,3,3,14,5
21940,642,57,887,2012,11,Yes,7,2.0,201897,4,3,3,14,4
10976,906,40,116,2007,2,No,4,1.5,230400,4,3,3,16,4
1800,906,1,25,1996,3,Yes,4,1.6,123333,4,1,3,9,4
18669,862,50,1038,2011,9,Yes,7,2.5,65564,4,3,3,8,4
38229,833,50,1069,2015,8,Yes,7,2.2,172803,4,3,3,14,4
24571,781,50,1038,2012,10,Yes,7,2.5,206211,4,3,3,16,4
29793,1018,47,983,2011,3,Yes,4,3.0,123803,6,4,1,14,8
1882,1053,42,496,2014,3,Yes,7,3.5,146395,6,3,1,16,12
17562,1185,38,424,2009,8,No,2,2.5,143000,4,3,2,12,12
10032,639,43,857,2013,8,Yes,7,2.0,71340,4,3,3,12,4
24029,707,57,1048,2011,8,Yes,7,2.0,119000,4,3,3,8,4
18503,781,31,613,2012,3,Yes,4,2.5,75000,5,4,3,12,6
8006,836,50,604,2010,3,Yes,3,2.0,66760,4,3,3,12,4
22580,889,44,682,2016,3,Yes,4,2.0,62876,4,3,3,14,4
18826,707,57,1048,2011,8,Yes,7,2.0,186412,4,3,3,8,4
20385,586,40,549,2012,2,Yes,4,1.8,119230,4,3,3,8,8
22580,906,25,687,2010,3,Yes,4,2.5,201600,6,4,1,12,8
38063,891,50,1069,2016,8,Yes,7,2.0,147786,4,3,3,14,4
18503,906,40,538,2007,3,Yes,2,2.4,248000,4,3,3,4,6
11290,906,42,433,2004,3,Yes,4,3.2,100000,6,1,1,12,8
16741,640,50,604,2013,3,Yes,4,2.0,149289,4,3,3,14,4
33707,877,50,1017,2017,8,Yes,7,1.7,143544,4,3,3,14,4
14454,583,50,497,2011,2,Yes,4,1.6,188244,4,3,3,14,4
32929,1017,35,994,2017,8,No,4,2.0,21000,4,2,2,13,6
11412,645,43,452,2011,3,Yes,4,1.8,107271,4,3,3,16,4
1490,697,50,669,2015,3,Yes,4,1.8,178686,4,3,3,8,12
12000,906,38,594,1998,6,No,7,2.5,220000,4,1,1,11,2
4234,906,23,89,2002,3,No,4,2.0,10000,4,4,3,11,12
706,919,38,544,2012,3,Yes,4,3.0,149822,6,3,3,6,12
862,753,50,604,2012,3,Yes,4,2.4,289920,4,3,3,4,12
20883,640,50,604,2013,3,Yes,4,2.0,126655,4,3,3,16,4
12544,906,23,451,2002,8,No,4,2.0,158000,4,1,2,5,6
13297,531,43,605,2012,2,Yes,4,1.6,46000,4,3,3,4,4
1333,1083,16,45,2013,3,Yes,4,3.6,204934,6,3,3,16,12
7370,906,38,214,1995,8,No,1,2.4,239000,4,1,2,11,2
15681,891,50,604,2016,3,Yes,3,2.0,219432,4,3,3,8,4
32929,906,25,732,2008,8,Yes,2,3.3,132800,6,3,2,14,12
14113,906,40,673,2012,2,No,2,1.5,144000,4,2,3,8,8
13172,753,50,604,2012,3,No,2,2.4,125000,4,2,3,8,10
2509,1017,42,743,2017,8,Yes,4,2.0,44477,4,3,3,6,0
19914,891,50,604,2016,3,Yes,3,2.0,290838,4,3,3,10,4
15681,906,21,307,2004,3,No,4,2.0,27000,4,4,2,6,10
26770,629,50,669,2015,3,Yes,4,1.6,97896,4,3,3,6,4
12544,906,38,594,2001,6,No,7,2.0,149000,4,1,3,12,12
12231,503,40,676,2012,2,No,2,1.5,147698,4,3,3,14,8
314,650,37,437,2016,8,Yes,4,1.4,77600,4,3,3,12,12
2979,1203,16,29,2011,3,Yes,4,3.6,252253,6,3,1,12,12
8154,906,41,635,2005,3,No,4,1.5,223000,4,4,3,16,5
9377,1090,43,703,2008,8,Yes,7,2.0,61237,4,3,3,12,4
5802,1055,42,496,2013,3,Yes,7,3.5,107800,6,3,1,16,12
8781,906,35,300,2002,8,No,4,2.0,168000,4,4,2,14,4
29793,1053,42,496,2014,3,Yes,7,3.5,219030,6,3,2,12,12
43952,1249,50,1038,2017,10,Yes,7,2.5,111643,4,3,3,16,4
10192,906,40,374,2006,9,No,4,1.5,200000,4,3,3,14,8
18189,906,40,549,2011,2,Yes,2,1.8,211200,4,2,3,14,10
314,1053,42,496,2014,3,Yes,7,3.5,149486,6,3,2,8,12
18033,738,43,672,2017,3,No,4,1.4,49439,4,3,3,16,6
9408,891,42,922,2016,3,Yes,4,2.0,56795,4,3,3,4,12
19946,528,50,669,2014,3,Yes,4,1.6,58317,4,3,3,12,4
4861,1058,42,496,2012,3,Yes,7,3.5,128202,6,3,1,12,12
470,831,50,604,2011,8,Yes,2,2.4,278989,4,3,3,6,0
314,586,25,315,2012,2,Yes,2,1.8,191731,4,3,3,8,12
7213,746,40,549,2009,3,No,2,1.5,271256,4,3,3,16,8
15367,639,38,544,2014,3,No,4,2.0,120000,4,3,3,14,0
2587,1053,23,480,2014,8,Yes,4,3.5,178656,6,3,3,8,12
1254,1202,16,15,2017,8,Yes,4,2.4,74499,4,3,3,12,12
12231,906,41,533,2002,8,No,1,2.0,150000,4,3,2,8,4
16756,836,50,754,2010,4,Yes,4,2.0,191263,4,3,3,14,4
13172,906,35,712,2005,8,No,4,2.4,160000,4,1,2,8,8
7213,906,21,371,2003,10,No,4,2.0,18000,4,4,2,14,2
5175,1211,42,369,2010,3,Yes,4,3.0,108517,6,3,2,14,12
1725,1172,42,496,2011,3,Yes,7,3.5,132630,6,3,1,8,12
23521,906,43,742,2017,3,Yes,4,1.5,53000,4,4,3,6,12
36827,1249,50,1038,2017,10,Yes,7,2.5,137000,4,3,3,14,4
7840,906,23,270,2003,3,No,4,2.3,145000,6,3,3,6,4
15681,585,50,669,2013,3,No,4,1.8,41600,4,4,3,16,8
7840,828,41,777,2020,3,Yes,4,1.5,4494,4,3,3,16,12
7997,1018,42,496,2011,3,Yes,7,3.0,273186,6,3,1,14,12
21953,730,38,424,2016,8,Yes,4,1.6,94400,4,3,2,14,0
32104,765,43,742,2015,3,Yes,7,2.0,87074,4,3,3,12,4
627,1079,50,669,2018,3,Yes,4,2.0,47294,4,3,3,12,12
16308,906,40,549,2010,2,No,2,1.8,185000,4,2,3,8,6
8938,986,50,741,2010,3,Yes,4,2.4,78436,4,3,3,12,4
10036,906,35,712,2003,10,No,3,2.4,200000,4,3,3,14,0
11604,906,38,594,1998,6,Yes,7,2.5,180000,4,1,1,4,0
8154,906,41,209,2003,3,No,4,3.0,149000,6,4,3,12,6
470,645,25,315,2011,2,Yes,2,1.8,32974,4,3,3,8,0
20385,906,40,549,2013,3,No,2,1.8,150400,4,3,3,8,6
627,586,25,315,2012,2,Yes,2,1.8,142394,4,3,3,14,0
9879,765,50,604,2015,3,Yes,3,2.0,52000,4,3,3,8,4
18669,862,50,1038,2011,9,Yes,7,2.5,52686,4,3,3,8,4
16599,642,43,452,2012,3,Yes,7,2.0,101275,4,3,3,14,4
25716,906,33,919,2012,8,Yes,4,3.2,100000,6,4,2,6,8
470,1077,12,61,2019,8,Yes,4,2.0,11566,4,3,2,12,12
27065,640,57,1048,2013,8,Yes,7,2.0,181796,4,3,3,12,4
48575,1017,50,604,2017,3,Yes,4,2.0,64652,4,3,3,12,4
10976,612,50,418,2010,3,No,7,1.4,193000,4,1,3,6,8
25089,915,47,595,2014,8,Yes,7,3.0,141384,6,3,2,6,0
7213,906,28,80,2004,10,No,4,1.8,18656,4,1,3,8,6
47694,765,50,604,2015,3,Yes,4,2.0,51115,4,3,3,16,4
13485,906,9,528,2007,9,No,7,1.9,265000,4,1,3,8,2
14113,528,50,669,2014,3,Yes,7,1.6,32844,4,3,3,14,4
7840,906,42,234,2000,4,No,4,2.0,210508,4,1,1,8,4
47989,971,57,1048,2016,8,Yes,7,2.2,110170,4,3,3,12,4
6899,906,40,897,2004,8,No,4,1.5,200000,4,3,2,5,12
35570,777,50,1038,2014,9,Yes,7,2.5,32000,4,3,3,16,4
18817,609,40,538,2018,3,Yes,2,2.5,35058,4,3,3,14,12
17876,584,50,669,2014,3,No,4,1.8,61579,4,4,3,16,12
13172,906,38,594,2004,6,No,7,2.0,180000,4,1,1,8,2
9722,609,40,538,2018,3,Yes,2,2.5,127515,4,3,3,12,12
12880,836,50,604,2010,3,Yes,4,2.0,173177,4,3,3,14,4
17876,764,44,682,2015,3,Yes,4,2.0,35841,4,3,3,12,4
3763,779,40,538,2013,3,Yes,2,2.5,124912,4,3,3,14,12
1568,749,50,604,2014,3,Yes,4,2.4,127906,4,3,3,6,12
12231,906,40,549,2007,2,No,2,1.5,297600,4,2,3,14,4
20005,531,50,669,2012,3,Yes,4,1.6,104997,4,3,3,14,4
5645,906,42,573,1995,3,No,4,2.2,310000,4,1,1,12,4
22567,650,43,605,2016,2,Yes,4,1.4,94793,4,3,3,12,4
38737,1091,50,1038,2016,10,Yes,7,2.5,119552,4,3,3,8,4
16465,638,44,682,2014,3,Yes,4,2.0,40067,4,3,3,8,4
7213,1282,44,467,2007,8,Yes,7,2.0,93568,4,3,3,12,4
13000,642,38,730,2012,2,No,2,2.0,208000,4,2,3,16,8
9408,906,35,436,1994,8,Yes,7,2.5,211433,4,1,2,14,2
7000,906,47,884,1998,3,Yes,4,2.8,124000,6,1,1,12,0
784,779,40,538,2013,3,Yes,4,2.5,78670,4,3,3,8,12
28909,639,50,1069,2014,8,Yes,7,2.0,231241,4,3,3,14,4
17158,530,50,669,2013,3,Yes,4,1.6,117500,4,3,3,16,4
16894,583,50,669,2011,3,Yes,4,1.6,104090,4,3,3,14,4
16308,934,40,897,2015,8,No,4,2.5,73000,4,3,2,10,0
18531,687,50,669,2010,3,Yes,4,1.6,111280,4,3,3,14,4
4234,834,40,139,2013,11,Yes,4,2.7,158870,4,3,1,14,0
706,645,25,315,2011,2,Yes,2,1.8,116869,4,3,3,12,0
22266,906,57,885,2010,8,Yes,7,2.7,66000,6,3,2,12,12
5000,906,38,594,1990,6,No,7,2.5,100000,4,1,1,4,0
19757,906,31,792,2011,3,Yes,4,2.0,189000,4,1,3,12,2
4077,906,16,501,1997,9,No,4,2.9,126405,8,3,1,3,2
15681,906,40,676,2013,2,No,2,1.4,228800,4,3,3,4,0
47408,1079,43,857,2018,8,Yes,3,2.0,33000,4,3,3,8,4
15323,531,50,669,2012,3,Yes,4,1.6,172253,4,3,3,12,4
37633,1249,40,897,2017,8,Yes,4,2.5,23430,4,4,3,9,12
15681,585,50,669,2013,3,No,4,1.8,138000,4,3,3,16,12
549,585,25,315,2013,2,Yes,2,1.8,65989,4,3,3,8,12
6899,906,9,218,2001,1,No,7,1.7,11111,4,1,3,14,2
1411,640,31,443,2013,3,Yes,7,2.0,169000,4,3,3,14,12
784,765,25,146,2015,8,Yes,4,2.0,109336,4,3,2,16,12
1176,640,44,75,2013,3,Yes,4,2.0,265618,4,3,3,14,12
25512,836,50,1017,2010,8,Yes,7,2.0,118514,4,3,3,16,4
17249,906,38,594,1996,1,No,7,2.5,230000,4,1,1,14,2
16935,765,38,544,2015,3,Yes,4,2.0,71454,4,3,3,12,0
3450,607,40,538,2019,3,Yes,2,2.5,9626,4,3,3,12,12
9879,1018,42,740,2011,8,Yes,7,3.0,275862,6,3,2,8,12
18189,530,44,471,2013,3,No,4,1.6,131200,4,4,3,12,8
2195,749,50,604,2014,3,Yes,4,2.4,115859,4,3,3,12,12
21796,890,44,682,2016,3,Yes,4,2.0,31033,4,3,3,12,4
470,1273,42,740,2015,8,Yes,4,3.5,82819,6,3,2,8,12
15035,836,50,604,2010,3,Yes,4,2.0,93865,4,3,3,5,4
20005,583,50,669,2011,3,Yes,4,1.6,129000,4,3,3,8,4
15681,779,31,613,2013,3,No,4,2.5,156000,4,4,3,16,8
43880,891,50,1069,2016,8,Yes,7,2.0,113700,4,3,3,8,4
15060,765,50,604,2015,3,Yes,3,2.0,143522,4,3,3,8,4
16308,906,47,595,2004,8,Yes,1,3.0,16000,6,4,2,8,8
21395,730,50,669,2016,3,Yes,4,1.6,144889,4,3,3,14,4
29774,639,50,1017,2014,8,Yes,7,2.0,162973,4,3,3,8,4
4234,753,50,604,2012,3,Yes,2,2.4,208627,4,3,3,12,0
17249,642,50,604,2012,3,Yes,4,2.0,110000,4,4,3,12,12
